Date,Air Temp [ÂºC],Rain [in],Wind speed [mph],VECTOR WIND SPEED,VECTOR WIND DIRECTION,Wind direction [degrees clockwise from North
2021-07-01 10:00:00,,,,,,
2021-07-02 10:00:00,,,,,,
2021-07-03 10:00:00,,,,,,
2021-07-04 10:00:00,,,,,,
2021-07-05 10:00:00,,,,,,
2021-07-14 10:15:00,12.05,0.0,0.0,0.0,0.0,0.0
2021-07-14 10:30:00,30.42,0.0,5.39,5.36,137.4,91.9
2021-07-14 10:45:00,9.21,0.0,9.45,9.33,140.3,136.1
2021-07-14 11:00:00,26.93,0.0,11.5,11.37,143.5,142.9
2021-07-14 11:15:00,26.93,0.0,11.73,11.68,141.1,140.7
2021-07-14 11:30:00,26.99,0.0,8.29,8.21,135.7,135.3
2021-07-14 11:45:00,27.36,0.0,10.07,9.99,134.6,134.4
2021-07-14 12:00:00,27.38,0.0,8.18,8.05,171.2,171.4
2021-07-14 12:15:00,27.47,0.0,6.76,6.7,172.0,171.7
2021-07-14 12:30:00,27.91,0.0,7.52,7.4,163.5,165.2
2021-07-14 12:45:00,28.27,0.0,7.46,7.4,149.3,149.2
2021-07-14 13:00:00,28.4,0.0,5.71,5.62,152.7,152.3
2021-07-14 13:15:00,28.54,0.0,5.69,5.64,147.0,146.4
2021-07-14 13:30:00,28.71,0.0,5.98,5.93,143.9,143.8
2021-07-14 13:45:00,29.02,0.0,6.31,6.28,142.4,142.2
2021-07-14 14:00:00,29.27,0.0,6.33,6.23,132.2,132.5
2021-07-14 14:15:00,29.26,0.0,5.27,5.24,146.5,146.7
2021-07-14 14:30:00,29.38,0.0,4.26,4.23,154.4,154.6
2021-07-14 14:45:00,28.53,0.0,6.18,5.46,122.1,115.0
2021-07-14 15:00:00,28.75,0.0,5.89,5.61,50.91,54.48
2021-07-14 15:15:00,28.62,0.0,7.4,3.25,102.9,97.8
2021-07-14 15:30:00,27.24,0.0,15.86,15.53,204.0,204.9
2021-07-14 15:45:00,26.81,0.0,11.94,11.74,231.2,229.9
2021-07-14 16:00:00,27.34,0.0,5.85,5.45,209.2,205.4
2021-07-14 16:15:00,28.5,0.0,4.76,4.53,133.2,136.2
2021-07-14 16:30:00,28.87,0.0,5.7,5.56,116.7,116.7
2021-07-14 16:45:00,29.53,0.0,7.7,7.66,92.8,92.4
2021-07-14 17:00:00,29.84,0.0,11.02,10.98,94.0,94.1
2021-07-14 17:15:00,29.54,0.0,11.83,11.79,82.8,82.9
2021-07-14 17:30:00,29.41,0.0,13.52,13.47,83.4,83.3
2021-07-14 17:45:00,29.55,0.0,13.59,13.56,90.7,90.7
2021-07-14 18:00:00,29.51,0.0,13.96,13.92,93.4,93.4
2021-07-14 18:15:00,29.47,0.0,12.68,12.62,97.4,97.4
2021-07-14 18:30:00,29.1,0.0,12.35,12.3,84.5,84.4
